source_text,target_text
how many heads of the departments are older than 56 ?,(head['age'] > 56).sum()
"list the name, born state and age of the heads of departments ordered by age.","head[['name', 'born_state', 'age']].sort_values('age')"
"list the creation year, name and budget of each department.","department[['creation', 'name', 'budget_in_billions']]"
what are the maximum and minimum budget of the departments?,"department['budget_in_billions'].agg(['max', 'min'])"
what is the average number of employees of the departments whose rank is between 10 and 15?,"department.loc[lambda x: x['ranking'].between(10,15), 'num_employees'].mean()"
what are the names of the heads who are born outside the california state?,"head.loc[lambda x: x['born_state'] != 'california', 'name']"
what are the distinct creation years of the departments managed by a secretary born in state 'alabama'?,"pd.merge(pd.merge(department, management, on='department_id'), head, on='head_id').loc[lambda x: x['born_state']=='alabama', 'creation'].unique()"
what are the names of the states where at least 3 heads were born?,head.groupby('born_state').filter(lambda x: len(x) >= 3)['born_state'].unique()
in which year were most departments established?,department.groupby('creation').size().sort_values(ascending=false).index[0]
show the name and number of employees for the departments managed by heads whose temporary acting value is 'yes'?,"pd.merge(department, management, on='department_id').loc[lambda x: x['temporary_acting']=='yes', ['name', 'num_employees']]"
how many acting statuses are there?,management['temporary_acting'].nunique()
how many departments are led by heads who are not mentioned?,department[~department['department_id'].isin(management['department_id'])].shape[0]
what are the distinct ages of the heads who are acting?,"pd.merge(head, management, on='head_id').loc[lambda x: x['temporary_acting']=='yes', 'age'].unique()"
list the states where both the secretary of 'treasury' department and the secretary of 'homeland security' were born.,"pd.merge(pd.merge(department.loc[lambda x: x['name']=='treasury'], management, on='department_id'), head, on='head_id')['born_state'].unique() & pd.merge(pd.merge(department.loc[lambda x: x['name']=='homeland security'], management, on='department_id'), head, on='head_id')['born_state'].unique()"
"which department has more than 1 head at a time? list the id, name and the number of heads.","management.merge(department, on='department_id').groupby(['department_id', 'name']).size().reset_index(name='count').loc[lambda x: x['count']>1, ['department_id', 'name', 'count']]"
which head's name has the substring 'ha'? list the id and name.,"head.loc[head['name'].str.contains('ha'), ['head_id', 'name']]"
how many farms are there?,farm.shape[0]
count the number of farms.,farm.shape[0]
list the total number of horses on farms in ascending order.,farm.sort_values('total_horses')['total_horses']
"what is the total horses record for each farm, sorted ascending?",farm.sort_values('total_horses')['total_horses']
"what are the hosts of competitions whose theme is not ""aliens""?","farm_competition.loc[lambda x: x['theme'] != 'aliens', 'hosts']"
return the hosts of competitions for which the theme is not aliens?,"farm_competition.loc[lambda x: x['theme'] != 'aliens', 'hosts']"
what are the themes of farm competitions sorted by year in ascending order?,farm_competition.sort_values('year')['theme']
"return the themes of farm competitions, sorted by year ascending.",farm_competition.sort_values('year')['theme']
what is the average number of working horses of farms with more than 5000 total number of horses?,"farm.loc[lambda x: x['total_horses'] > 5000, 'working_horses'].mean()"
give the average number of working horses on farms with more than 5000 total horses.,"farm.loc[lambda x: x['total_horses'] > 5000, 'working_horses'].mean()"
what are the maximum and minimum number of cows across all farms.,"farm['cows'].agg(['max', 'min'])"
return the maximum and minimum number of cows across all farms.,"farm['cows'].agg(['max', 'min'])"
how many different statuses do cities have?,city['status'].nunique()
count the number of different statuses.,city['status'].nunique()
list official names of cities in descending order of population.,"city.sort_values('population', ascending=false)['official_name']"
"what are the official names of cities, ordered descending by population?","city.sort_values('population', ascending=false)['official_name']"
list the official name and status of the city with the largest population.,"city[['official_name', 'status']].sort_values('population', ascending=false).head(1)"
what is the official name and status of the city with the most residents?,"city[['official_name', 'status']].sort_values('population', ascending=false).head(1)"
show the years and the official names of the host cities of competitions.,"pd.merge(city, farm_competition, left_on='city_id', right_on='host_city_id')[['year', 'official_name']]"
give the years and official names of the cities of each competition.,"pd.merge(city, farm_competition, left_on='city_id', right_on='host_city_id')[['year', 'official_name']]"
show the official names of the cities that have hosted more than one competition.,"pd.merge(city, farm_competition, left_on='city_id', right_on='host_city_id').groupby('host_city_id').filter(lambda x: len(x) > 1)['official_name']"
what are the official names of cities that have hosted more than one competition?,"pd.merge(city, farm_competition, left_on='city_id', right_on='host_city_id').groupby('host_city_id').filter(lambda x: len(x) > 1)['official_name']"
show the status of the city that has hosted the greatest number of competitions.,"pd.merge(city, farm_competition, left_on='city_id', right_on='host_city_id').groupby('host_city_id')['status'].count().sort_values(ascending=false).head(1)"
what is the status of the city that has hosted the most competitions?,"pd.merge(city, farm_competition, left_on='city_id', right_on='host_city_id').groupby('host_city_id')['status'].count().sort_values(ascending=false).head(1)"
please show the themes of competitions with host cities having populations larger than 1000.,"city.merge(farm_competition, left_on='city_id', right_on='host_city_id').loc[lambda x: x['population'] > 1000, 'theme']"
what are the themes of competitions that have corresponding host cities with more than 1000 residents?,"city.merge(farm_competition, left_on='city_id', right_on='host_city_id').loc[lambda x: x['population'] > 1000, 'theme']"
please show the different statuses of cities and the average population of cities with each status.,city.groupby('status')['population'].mean()
what are the statuses and average populations of each city?,city.groupby('status')['population'].mean()
"please show the different statuses, ordered by the number of cities that have each.",city.groupby('status').size().sort_values().index
"return the different statuses of cities, ascending by frequency.",city.groupby('status').size().sort_values().index
list the most common type of status across cities.,city.groupby('status').size().sort_values(ascending=false).index[0]
what is the most common status across all cities?,city.groupby('status').size().sort_values(ascending=false).index[0]
list the official names of cities that have not held any competition.,"city.loc[~city['city_id'].isin(farm_competition['host_city_id']), 'official_name']"
what are the official names of cities that have not hosted a farm competition?,"city.loc[~city['city_id'].isin(farm_competition['host_city_id']), 'official_name']"
show the status shared by cities with population bigger than 1500 and smaller than 500.,"set(city.loc[city['population'] > 1500, 'status']).intersection(set(city.loc[city['population'] < 500, 'status']))"
which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,"set(city.loc[city['population'] > 1500, 'status']).intersection(set(city.loc[city['population'] < 500, 'status']))"
find the official names of cities with population bigger than 1500 or smaller than 500.,"city.loc[(city['population']>1500) | (city['population']<500), 'official_name']"
what are the official names of cities that have population over 1500 or less than 500?,"city.loc[(city['population']>1500) | (city['population']<500), 'official_name']"
"show the census ranking of cities whose status are not ""village"".","city.loc[lambda x: x['status']!='village', 'census_ranking']"
"what are the census rankings of cities that do not have the status ""village""?","city.loc[lambda x: x['status']!='village', 'census_ranking']"
which course has most number of registered students?,"pd.merge(courses, student_course_registrations, on='course_id').groupby('course_id')['course_name'].count().sort_values(ascending=false).head(1)"
what is the name of the course with the most registered students?,"pd.merge(courses, student_course_registrations, on='course_id').groupby('course_id')['course_name'].count().sort_values(ascending=false).head(1)"
what is id of students who registered some courses but the least number of courses in these students?,student_course_registrations.groupby('student_id').size().nsmallest(1).index[0]
what are the ids of the students who registered for some courses but had the least number of courses for all students?,student_course_registrations.groupby('student_id').size().nsmallest(1).index[0]
